2023-11-01 at 17:49:55 | INFO | Buscando IDs de Produtos na API Tiny
2023-11-01 at 17:49:55 | INFO | Criando DataFrame com IDs de produtos na tabela 'tiny_products'
2023-11-01 at 17:50:15 | INFO | Buscando IDs de Produtos na API Tiny
2023-11-01 at 17:50:15 | INFO | Criando DataFrame com IDs de produtos na tabela 'tiny_products'
2023-11-01 at 17:50:33 | INFO | Buscando IDs de Produtos na API Tiny
2023-11-01 at 17:50:33 | INFO | Criando DataFrame com IDs de produtos na tabela 'tiny_products'
2023-11-01 at 17:50:33 | INFO | Verificando headers
2023-11-01 at 17:50:35 | INFO | Enviando requisição POST
2023-11-01 at 17:50:35 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:35 | INFO | Verificando headers
2023-11-01 at 17:50:36 | INFO | Enviando requisição POST
2023-11-01 at 17:50:36 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:36 | INFO | Verificando headers
2023-11-01 at 17:50:37 | INFO | Enviando requisição POST
2023-11-01 at 17:50:37 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:37 | INFO | Verificando headers
2023-11-01 at 17:50:38 | INFO | Enviando requisição POST
2023-11-01 at 17:50:38 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:38 | INFO | Verificando headers
2023-11-01 at 17:50:39 | INFO | Enviando requisição POST
2023-11-01 at 17:50:39 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:39 | INFO | Verificando headers
2023-11-01 at 17:50:40 | INFO | Enviando requisição POST
2023-11-01 at 17:50:40 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:40 | INFO | Verificando headers
2023-11-01 at 17:50:41 | INFO | Enviando requisição POST
2023-11-01 at 17:50:41 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:41 | INFO | Verificando headers
2023-11-01 at 17:50:42 | INFO | Enviando requisição POST
2023-11-01 at 17:50:42 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:42 | INFO | Verificando headers
2023-11-01 at 17:50:44 | INFO | Enviando requisição POST
2023-11-01 at 17:50:44 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:44 | INFO | Verificando headers
2023-11-01 at 17:50:45 | INFO | Enviando requisição POST
2023-11-01 at 17:50:45 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:45 | INFO | Verificando headers
2023-11-01 at 17:50:46 | INFO | Enviando requisição POST
2023-11-01 at 17:50:46 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:46 | INFO | Verificando headers
2023-11-01 at 17:50:47 | INFO | Enviando requisição POST
2023-11-01 at 17:50:47 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:47 | INFO | Verificando headers
2023-11-01 at 17:50:48 | INFO | Enviando requisição POST
2023-11-01 at 17:50:48 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:48 | INFO | Verificando headers
2023-11-01 at 17:50:49 | INFO | Enviando requisição POST
2023-11-01 at 17:50:49 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:49 | INFO | Verificando headers
2023-11-01 at 17:50:50 | INFO | Enviando requisição POST
2023-11-01 at 17:50:50 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:50 | INFO | Verificando headers
2023-11-01 at 17:50:51 | INFO | Enviando requisição POST
2023-11-01 at 17:50:51 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:51 | INFO | Verificando headers
2023-11-01 at 17:50:52 | INFO | Enviando requisição POST
2023-11-01 at 17:50:52 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:52 | INFO | Verificando headers
2023-11-01 at 17:50:53 | INFO | Enviando requisição POST
2023-11-01 at 17:50:53 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:53 | INFO | Verificando headers
2023-11-01 at 17:50:55 | INFO | Enviando requisição POST
2023-11-01 at 17:50:55 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:55 | INFO | Verificando headers
2023-11-01 at 17:50:56 | INFO | Enviando requisição POST
2023-11-01 at 17:50:56 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:56 | INFO | Verificando headers
2023-11-01 at 17:50:57 | INFO | Enviando requisição POST
2023-11-01 at 17:50:57 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:57 | INFO | Verificando headers
2023-11-01 at 17:50:58 | INFO | Enviando requisição POST
2023-11-01 at 17:50:58 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:58 | INFO | Verificando headers
2023-11-01 at 17:50:59 | INFO | Enviando requisição POST
2023-11-01 at 17:50:59 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:50:59 | INFO | Verificando headers
2023-11-01 at 17:51:00 | INFO | Enviando requisição POST
2023-11-01 at 17:51:00 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:00 | INFO | Verificando headers
2023-11-01 at 17:51:01 | INFO | Enviando requisição POST
2023-11-01 at 17:51:01 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:01 | INFO | Verificando headers
2023-11-01 at 17:51:02 | INFO | Enviando requisição POST
2023-11-01 at 17:51:02 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:02 | INFO | Verificando headers
2023-11-01 at 17:51:04 | INFO | Enviando requisição POST
2023-11-01 at 17:51:04 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:04 | INFO | Verificando headers
2023-11-01 at 17:51:05 | INFO | Enviando requisição POST
2023-11-01 at 17:51:05 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:05 | INFO | Verificando headers
2023-11-01 at 17:51:06 | INFO | Enviando requisição POST
2023-11-01 at 17:51:06 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:06 | INFO | Verificando headers
2023-11-01 at 17:51:07 | INFO | Enviando requisição POST
2023-11-01 at 17:51:07 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:07 | INFO | Verificando headers
2023-11-01 at 17:51:09 | INFO | Enviando requisição POST
2023-11-01 at 17:51:09 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:09 | INFO | Verificando headers
2023-11-01 at 17:51:10 | INFO | Enviando requisição POST
2023-11-01 at 17:51:10 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:10 | INFO | Verificando headers
2023-11-01 at 17:51:11 | INFO | Enviando requisição POST
2023-11-01 at 17:51:11 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:11 | INFO | Verificando headers
2023-11-01 at 17:51:14 | INFO | Enviando requisição POST
2023-11-01 at 17:51:14 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:14 | INFO | Verificando headers
2023-11-01 at 17:51:15 | INFO | Enviando requisição POST
2023-11-01 at 17:51:15 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:15 | INFO | Verificando headers
2023-11-01 at 17:51:16 | INFO | Enviando requisição POST
2023-11-01 at 17:51:16 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:16 | INFO | Verificando headers
2023-11-01 at 17:51:17 | INFO | Enviando requisição POST
2023-11-01 at 17:51:17 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:17 | INFO | Verificando headers
2023-11-01 at 17:51:19 | INFO | Enviando requisição POST
2023-11-01 at 17:51:19 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:19 | INFO | Verificando headers
2023-11-01 at 17:51:20 | INFO | Enviando requisição POST
2023-11-01 at 17:51:20 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:20 | INFO | Verificando headers
2023-11-01 at 17:51:21 | INFO | Enviando requisição POST
2023-11-01 at 17:51:21 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:21 | INFO | Verificando headers
2023-11-01 at 17:51:22 | INFO | Enviando requisição POST
2023-11-01 at 17:51:22 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:22 | INFO | Verificando headers
2023-11-01 at 17:51:23 | INFO | Enviando requisição POST
2023-11-01 at 17:51:23 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:23 | INFO | Verificando headers
2023-11-01 at 17:51:24 | INFO | Enviando requisição POST
2023-11-01 at 17:51:24 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:24 | INFO | Verificando headers
2023-11-01 at 17:51:25 | INFO | Enviando requisição POST
2023-11-01 at 17:51:25 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:25 | INFO | Verificando headers
2023-11-01 at 17:51:27 | INFO | Enviando requisição POST
2023-11-01 at 17:51:27 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:27 | INFO | Verificando headers
2023-11-01 at 17:51:28 | INFO | Enviando requisição POST
2023-11-01 at 17:51:28 | INFO | Requisição realizada com sucesso!
2023-11-01 at 17:51:28 | INFO | Verificando headers
2023-11-01 at 17:51:29 | INFO | Enviando requisição POST
2023-11-01 at 17:51:29 | INFO | Requisição realizada com sucesso!
